ID,fixation_durations,fixation_counts,fixation_durations_elmo,fixation_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage,task,XAI_value,reliance,condition
O20,1.140784780184428,24,0.0,0,214.559889793396,182,14.097303867340088,23,36.49802890932983,2,0,1,0
O20,0.6306811968485514,15,0.0,0,224.02010774612427,197,14.097303867340088,23,38.75383267630311,2,0,1,0
O20,1.0716393558602584,38,0.0,0,264.7424032688141,235,14.097303867340088,23,44.97371879106439,3,0,1,0
O20,1.6598470211029053,6,0.0,0,274.7014853954315,241,14.097303867340088,23,46.75317564607972,3,0,1,0
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,76.59877354358301,9,0,1,0
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,77.87450722733246,9,0,1,0
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,84.49956197985107,11,0,1,0
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,85.43035479632063,11,0,1,0
O20,0.305851936340332,3,0.0,0,369.3804144859314,302,22.24910068511963,40,98.59833552343407,15,0,1,0
O20,0.7275063196818033,3,0.0,0,371.5629334449768,305,22.24910068511963,40,99.41414805081034,15,0,1,0
O21,0.9197853008906046,12,0.0625751018524169,1,94.4086093902588,136,22.043242931365967,57,33.4949215143121,3,0,1,0
O21,1.4784033298492432,2,0.1662760972976684,2,97.36541604995728,138,22.375795125961304,59,35.141582025238534,3,0,1,0
O21,0.8132852448357476,9,0.0,0,203.2817132472992,255,27.4766948223114,71,65.94336718990459,9,0,1,0
O21,0.6835564374923706,4,0.3463318347930908,1,206.01593899726868,259,27.82302665710449,72,66.76669744536781,9,0,1,0
O21,0.524164004759355,11,0.0,0,211.7817430496216,270,27.82302665710449,72,70.71406586642044,10,0,1,0
O21,0.9873785972595216,3,0.0,0,214.7438788414001,273,27.82302665710449,72,71.97599261311173,10,0,1,0
O21,2.017506380875905,12,0.0,0,238.953955411911,285,27.82302665710449,72,77.16220375500154,11,0,1,0
O21,2.750244736671448,2,0.0,0,244.4544448852539,287,27.82302665710449,72,78.41643582640813,11,0,1,0
O21,0.9232855002085368,15,0.3385062085257636,18,318.390798330307,358,42.23336219787598,127,98.19944598337948,15,0,1,0
O21,0.7815643548965454,2,0.1751892907278878,7,319.9539270401001,360,43.45968723297119,134,99.09972299168976,15,0,1,0
O22,1.2985089719295502,8,0.0,0,246.8582029342652,92,18.10828709602356,44,39.868026394721056,2,0,1,0
O22,1.363114356994629,5,0.0,0,253.67377471923828,97,18.10828709602356,44,41.571685662867424,2,0,1,0
O22,3.727921152114868,10,0.0,0,355.1751365661621,145,18.10828709602356,44,59.88602279544091,6,0,1,0
O22,1.053375204404195,6,0.0,0,361.4953877925873,151,18.10828709602356,44,61.15776844631073,6,0,1,0
O22,2.1537741747769443,11,0.0,0,385.18690371513367,162,18.10828709602356,44,64.58308338332334,7,0,1,0
O22,0.7802762587865194,6,0.0,0,389.8685612678528,168,18.10828709602356,44,65.36292741451709,7,0,1,0
O22,1.8627925713857008,12,0.0,0,458.26015281677246,207,18.10828709602356,44,77.25854829034193,10,0,1,0
O22,1.2269245386123655,4,0.0,0,463.1678509712219,211,18.10828709602356,44,78.03239352129575,10,0,1,0
O22,1.829989300833808,9,0.0,0,479.6377546787262,220,18.10828709602356,44,81.34373125374925,11,0,1,0
O22,1.4797539710998535,3,0.0,0,484.07701659202576,223,18.10828709602356,44,82.11157768446311,11,0,1,0
O22,1.2337526082992554,14,0.0,0,529.4392831325531,249,18.10828709602356,44,91.6736652669466,14,0,1,0
O22,3.118741750717163,2,0.0,0,535.6767666339874,251,18.10828709602356,44,92.9634073185363,14,0,1,0
O24,1.9740787943204243,12,0.0,0,268.946213722229,190,1.1166131496429443,4,58.112923119090034,4,0,1,0
O24,0.5368479490280151,2,0.0,0,270.01990962028503,192,1.1166131496429443,4,58.79128408935179,4,0,1,0
O24,2.223799735307693,8,0.0,0,287.8103075027466,200,1.1166131496429443,4,62.58736467041249,5,0,1,0
O24,0.0,0,0.0,0,287.8103075027466,200,1.1166131496429443,4,63.40962039194189,5,0,1,0
O24,1.63591734568278,3,0.0,0,384.8511414527893,259,1.1166131496429443,4,88.86528710428944,12,0,1,0
O24,0.0,0,0.0,0,384.8511414527893,259,1.1166131496429443,4,90.00959298341785,12,0,1,0
O25,0.8469837506612142,3,0.2002401351928711,1,158.65520000457764,134,9.68879461288452,20,41.43642192031751,3,0,1,0
O25,0.8317327499389648,15,0.2667745351791382,2,171.1311912536621,149,10.222343683242798,22,45.33658983361319,3,0,1,0
O25,2.223390221595764,4,0.0,0,293.71902799606323,278,14.759589195251465,36,86.98671958479622,11,0,1,0
O25,1.303592824935913,5,0.0,0,300.2369921207428,283,14.759589195251465,36,88.91009006258587,11,0,1,0
O26,1.5065935525027188,22,0.2692540305001395,35,306.38924503326416,257,81.50726675987244,211,42.924467119201005,3,0,1,0
O26,1.1556516488393147,3,0.0,0,309.8561999797821,260,81.50726675987244,211,43.828094599853,3,0,1,0
O26,2.059737831354141,8,0.0,0,417.3148319721222,325,84.84773540496826,219,58.817934195166245,7,0,1,0
O26,1.6499882539113362,18,0.0,0,447.0146205425263,343,84.84773540496826,219,62.90803752864369,7,0,1,0
O26,2.6576881068093434,7,0.0,0,592.9295868873596,451,93.250727891922,245,84.76804012278957,14,0,1,0
O26,1.4919591443292026,29,0.302192211151123,1,636.1964020729065,480,93.55292010307312,246,90.28924726533788,14,0,1,0
O26,1.1218736422689335,38,0.2699572823264382,11,678.827600479126,518,96.52245020866394,257,96.24281205413118,15,0,1,0
O26,0.9157000269208636,7,0.4796128273010254,7,685.237500667572,525,99.87973999977112,264,97.31505901681872,15,0,1,0
O27,0.3815267562866211,10,0.0,0,13.689237117767334,50,0.6317083835601807,6,31.48671565856416,2,0,1,0
O27,0.1254823207855224,3,0.0,0,14.0656840801239,53,0.6317083835601807,6,32.14891383348139,2,0,1,0
O27,0.4288682738939921,48,0.0,0,64.89715385437012,191,0.6317083835601807,6,51.50205927481224,5,0,1,0
O27,0.3003358159746442,7,0.0,0,66.99950456619263,198,0.6317083835601807,6,52.84260679964468,5,0,1,0
O27,0.3000591278076172,15,0.0,0,81.73872995376587,239,0.6317083835601807,6,61.22910441734636,7,0,1,0
O27,0.438535213470459,4,0.0,0,83.4928708076477,243,0.6317083835601807,6,61.92764273600905,7,0,1,0
O27,0.3355228503545125,24,0.0,0,128.12381076812744,364,0.6317083835601807,6,89.84898651376888,13,0,1,0
O27,0.7992019653320312,1,0.0,0,128.92301273345947,365,0.6317083835601807,6,91.39142372607608,13,0,1,0
O27,0.2551676432291667,9,0.0,0,131.21952152252197,374,0.6317083835601807,6,94.82758620689656,14,0,1,0
O27,0.0,0,0.0,0,131.21952152252197,374,0.6317083835601807,6,96.0591133004926,14,0,1,0
O28,0.9679463250296456,7,0.0,0,159.25721788406372,135,42.22443413734436,67,47.64682220434433,2,0,1,0
O28,0.7723526954650879,4,0.0,0,162.34662866592407,139,42.22443413734436,67,48.85358004827031,2,0,1,0
O28,0.940512090921402,8,0.0,0,184.04868292808533,161,42.22443413734436,67,55.842719227674976,4,0,1,0
O28,1.4352260828018188,2,0.0,0,186.91913509368896,163,42.22443413734436,67,57.29082864038616,4,0,1,0
O28,0.912340203921,6,0.0,0,211.8735239505768,186,42.22443413734436,67,66.3515687851971,7,0,1,0
O28,0.5918031930923462,8,0.0,0,216.60794949531555,194,42.22443413734436,67,68.01086082059533,7,0,1,0
O28,1.1216143767038982,6,0.0,0,242.3120138645172,216,42.22443413734436,67,76.93081255028159,10,0,1,0
O28,0.9818312644958496,5,0.0,0,247.2211701869965,221,42.22443413734436,67,78.35880933226066,10,0,1,0
O28,0.0,0,0.0,0,247.2211701869965,221,42.22443413734436,67,79.72646822204345,11,0,1,0
O28,1.207095205783844,4,0.0,0,252.04955101013184,225,42.22443413734436,67,81.13435237329043,11,0,1,0
O28,1.344654560089111,2,0.0,0,267.02531480789185,244,42.22443413734436,67,86.03177795655672,13,0,1,0
O28,2.175094246864319,2,0.0,0,271.3755033016205,246,42.22443413734436,67,87.44971842316976,13,0,1,0
O28,0.8076043128967285,8,0.0,0,287.25036239624023,262,42.22443413734436,67,93.11142397425584,15,0,1,0
O28,0.4809663295745849,1,0.0,0,287.7313287258148,263,42.22443413734436,67,94.52936444086887,15,0,1,0
O29,0.7299207846323649,45,1.2308243723476635,17,144.1151158809662,231,83.98181462287903,70,43.31513260530421,1,0,1,0
O29,0.5555681145709493,23,0.0891960461934407,3,156.89318251609802,254,84.24940276145935,73,47.1216848673947,1,0,1,0
O29,0.8538190885023638,11,0.5001792430877685,5,198.1135087013245,309,99.36981773376463,94,59.21996879875196,4,0,1,0
O29,0.7845042433057513,7,0.0,0,203.60503840446472,316,99.36981773376463,94,60.91263650546021,4,0,1,0
O29,0.8110547512769699,32,0.3916754505851052,11,236.81749629974365,357,103.96004033088684,108,71.6380655226209,6,0,1,0
O29,0.7804340124130249,2,0.7467235088348388,5,238.3783643245697,359,107.69365787506104,113,72.71450858034322,6,0,1,0
O29,0.4586333632469177,8,0.5091110978807721,7,242.04743123054504,367,111.25743556022644,120,73.8767550702028,7,0,1,0
O29,1.2731890678405762,12,0.5893001397450764,15,257.325700044632,379,120.0969376564026,135,77.46489859594384,7,0,1,0
O29,0.8694848219553629,6,0.9878299236297609,4,262.54260897636414,385,124.04825735092165,139,78.69734789391576,8,0,1,0
O29,1.0824767112731934,5,0.7390763759613037,5,267.9549925327301,390,127.74363923072816,144,79.89859594383776,8,0,1,0
O29,1.942316007614136,10,1.100072513927113,11,287.37815260887146,400,139.8444368839264,155,84.07956318252731,9,0,1,0
O29,1.457951307296753,2,0.62833038965861,3,290.29405522346497,402,141.72942805290222,158,85.10140405616224,9,0,1,0
