ID,fixation_durations,fixation_counts,fixation_durations_elmo,fixation_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage,task,XAI_value,reliance,condition
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,66.68309242225142,7,0,0,11
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,67.2634691195795,7,0,0,11
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,80.42597459483136,10,0,0,11
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,81.83858957512045,10,0,0,11
O21,2.0176339149475098,5,1.102602481842041,1,164.675683259964,204,27.4766948223114,71,53.02400738688827,7,0,0,11
O21,0.6437617329990163,17,0.0,0,175.6196327209473,221,27.4766948223114,71,55.57094490612496,7,0,0,11
O21,1.2288453380266826,12,0.2017405209717927,27,297.24448585510254,325,33.72728157043457,102,92.7362265312404,14,0,0,11
O21,0.4053905540042453,18,0.3447098391396658,7,304.54151582717896,343,36.14025044441223,109,94.79070483225608,14,0,0,11
O24,0.8249390125274658,4,0.0,0,216.55303597450256,154,1.1166131496429443,4,46.56023023160203,2,0,0,11
O24,0.0,0,0.0,0,216.55303597450256,154,1.1166131496429443,4,47.26599972591476,2,0,0,11
O24,5.208802580833435,2,0.0,0,298.22791266441345,202,1.1166131496429443,4,65.89009181855558,6,0,0,11
O24,0.9912896951039633,3,0.0,0,301.20178174972534,205,1.1166131496429443,4,67.93202686035357,6,0,0,11
O24,1.269866704940796,2,0.0,0,338.26655769348145,230,1.1166131496429443,4,77.33315060983966,9,0,0,11
O24,1.041204531987508,6,0.0,0,344.5137848854065,236,1.1166131496429443,4,78.64190763327395,9,0,0,11
O24,0.9082750976085664,8,0.0,0,372.7691099643707,250,1.1166131496429443,4,84.67863505550226,11,0,0,11
O24,1.1957132418950398,6,0.0,0,379.94338941574097,256,1.1166131496429443,4,87.03576812388653,11,0,0,11
O24,1.6303844451904297,7,0.91584050655365,2,396.2638325691223,266,2.948294162750244,6,92.5174729340825,13,0,0,11
O24,1.5057218074798584,3,1.217625617980957,2,400.7809979915619,269,5.383545398712158,8,93.64807455118542,13,0,0,11
O25,0.983558434706468,13,0.0,0,144.07080101966858,126,9.48855447769165,19,36.98671958479621,2,0,0,11
O25,2.408689546585083,5,0.0,0,156.114248752594,131,9.48855447769165,19,40.29919096321172,2,0,0,11
O25,0.6636755019426346,16,0.4443024794260661,3,234.52218747138977,236,14.759589195251465,36,68.88261334147458,6,0,0,11
O25,1.3342126607894895,2,0.0,0,237.19061279296875,238,14.759589195251465,36,69.82903373530759,6,0,0,11
O25,0.9551031291484832,8,0.0,0,244.83143782615664,246,14.759589195251465,36,71.43184246679897,7,0,0,11
O25,0.5182995796203613,3,0.0,0,246.3863365650177,249,14.759589195251465,36,72.10349564951916,7,0,0,11
O26,1.879883936473301,7,0.387798547744751,12,263.4088637828827,224,72.08337569236755,176,37.1438453889057,2,0,0,11
O26,0.8941202813928778,11,0.0,0,273.24418687820435,235,72.08337569236755,176,38.74789225647455,2,0,0,11
O26,1.696516990661621,20,0.0,0,390.6986835002899,308,84.84773540496826,219,54.918068226036574,6,0,0,11
O26,1.126471757888794,9,0.0,0,400.83692932128906,317,84.84773540496826,219,56.82044186951446,6,0,0,11
O26,1.6012511253356934,11,0.2203803062438964,1,497.7303969860077,382,86.33669757843018,223,70.43538414976868,10,0,0,11
O26,1.2279237359762192,16,0.3261844461614435,11,517.3771767616272,398,89.92472648620605,234,73.60456569674434,10,0,0,11
O29,0.7063010120391846,25,0.0,0,174.55070781707764,279,84.24940276145935,73,51.89547581903277,2,0,0,11
O29,1.0716803868611653,3,0.1002228260040283,1,177.76574897766113,282,84.34962558746338,74,53.07332293291732,2,0,0,11
O29,0.882610559463501,2,0.2124526500701904,1,302.3626346588135,412,148.07068490982056,170,88.8455538221529,11,0,0,11
O29,1.536024808883667,3,0.0,0,306.9707090854645,415,148.07068490982056,170,89.72698907956318,11,0,0,11
O30,1.6921838311588062,17,0.0,0,446.7645406723023,263,0.0628612041473388,1,70.64194798007748,7,0,0,11
O30,0.475793441136678,3,0.0,0,448.1919209957123,266,0.0628612041473388,1,73.07692307692307,7,0,0,11
O30,1.0335091677579014,11,0.0,0,499.44654178619385,308,0.0628612041473388,1,83.33148865522966,10,0,0,11
O30,1.5241148471832275,2,0.0,0,502.4947714805603,310,0.0628612041473388,1,84.0398450470393,10,0,0,11
O31,1.6288133064905803,6,0.0,0,231.44752264022827,151,3.2141778469085693,3,75.53902724385759,9,0,0,11
O31,0.697533905506134,12,0.0,0,239.81792950630188,163,3.2141778469085693,3,78.82333277619922,9,0,0,11
O32,0.646168555532183,28,0.0,0,567.3311247825623,527,149.74803924560547,281,91.42553083666954,14,0,0,11
O32,2.527756452560425,2,0.0,0,572.3866376876831,529,149.74803924560547,281,92.11979932093448,14,0,0,11
O33,1.4894667182649886,14,0.3724560439586639,8,516.3407964706421,606,3.36863660812378,12,83.91625861896672,11,0,0,11
O33,0.1285088062286377,1,0.0999255180358886,1,516.4693052768707,607,3.468562126159668,13,84.37094034176077,11,0,0,11
O33,3.086755752563477,2,0.0,0,559.386382818222,640,5.195639848709106,20,92.70010992305386,14,0,0,11
O33,0.5631084442138672,1,0.0,0,559.9494912624359,641,5.195639848709106,20,93.2647146997102,14,0,0,11
OX20,4.265764760971069,5,0.2420957814092221,23,477.8043351173401,262,197.37634801864624,424,58.17953208496116,7,1,0,10
OX20,2.023203939199448,16,0.3400804413689507,45,510.1755981445313,278,212.67996788024905,469,61.64174412860928,7,1,0,10
OX21,1.996885061264038,4,0.0,0,375.9808225631714,232,24.87054896354676,65,91.81658118349536,13,1,0,10
OX21,0.8524026870727539,13,0.0,0,387.0620574951172,245,24.87054896354676,65,94.15142004133811,13,1,0,10
OX22,2.938545525074005,8,0.0,0,422.5335741043091,171,66.92808842658997,208,57.73936301946605,7,1,0,10
OX22,1.7614653640323217,9,0.1257137060165405,2,438.3867623806,180,67.17951583862305,210,60.260537916687305,7,1,0,10
OX22,0.9699305216471354,15,0.0,0,595.4770247936249,272,67.17951583862305,210,87.3842191292288,13,1,0,10
OX22,0.7938929398854574,18,0.0,0,609.7670977115631,290,67.17951583862305,210,89.45960671652881,13,1,0,10
OX24,1.124704698721568,12,0.3714926838874817,4,260.5658409595489,210,50.99889540672302,109,34.53392572143381,2,1,0,10
OX24,1.006458494398329,27,0.5242229302724203,21,287.74022030830383,237,62.00757694244385,130,37.90277358409179,2,1,0,10
OX24,1.3576966285705567,5,0.3600756525993347,8,622.5574626922607,540,102.11544275283812,235,86.27442522538067,13,1,0,10
OX24,0.8608133565811884,21,0.6532083749771118,6,640.6345431804657,561,106.0346930027008,241,88.83664754345857,13,1,0,10
OX25,1.853591305868966,7,0.0,0,403.89777731895447,343,0.0,0,43.64637152601898,5,1,0,10
OX25,1.2355480635607683,27,0.0,0,437.2575750350952,370,0.0,0,47.41836355654611,5,1,0,10
OX25,2.298222984586443,7,0.0,0,501.633308172226,416,0.0,0,54.58075845068044,7,1,0,10
OX25,1.008454684857969,27,0.0,0,528.8615846633911,443,0.0,0,57.251882619119975,7,1,0,10
OX25,1.1489694317181904,24,0.0,0,761.2325329780579,715,1.784146785736084,10,84.2974369364806,13,1,0,10
OX25,0.6998800577655915,62,0.0,0,804.6250965595245,777,1.784146785736084,10,88.98794448384155,13,1,0,10
OX26,1.09544038772583,22,0.0,0,142.0695083141327,79,16.483609199523926,23,21.628109995635096,1,1,0,10
OX26,1.913255262374878,10,0.0,0,161.20206093788147,89,16.483609199523926,23,24.85268441728503,1,1,0,10
OX26,1.0977647701899211,12,0.0,0,174.37523818016052,101,16.483609199523926,23,27.59711916193801,2,1,0,10
OX26,1.6229239845275878,25,0.0,0,214.94833779335025,126,16.483609199523926,23,33.59886512439982,2,1,0,10
OX26,1.022780248097011,14,0.0,0,323.8121249675751,204,16.483609199523926,23,54.16302924487123,6,1,0,10
OX26,1.019473373889923,16,0.0,0,340.12369894981384,220,16.483609199523926,23,56.62374508948058,6,1,0,10
OX26,1.4673362970352173,4,0.0,0,345.9930441379547,224,16.483609199523926,23,57.74770842426887,7,1,0,10
OX26,1.073451966047287,16,0.0,0,363.1682755947113,240,16.483609199523926,23,60.8195111305107,7,1,0,10
OX26,1.9962641298770905,8,0.0,0,433.0960540771485,285,16.483609199523926,23,75.48559580969008,10,1,0,10
OX26,1.265935977300008,15,0.0,0,452.08509373664856,300,16.483609199523926,23,78.63378437363596,10,1,0,10
OX26,1.3680126667022705,9,0.0,0,513.5381736755371,352,16.483609199523926,23,89.43692710606722,13,1,0,10
OX26,2.8488614559173584,3,0.0,0,522.0847580432892,355,16.483609199523926,23,91.23745089480576,13,1,0,10
OX26,0.9361178278923036,8,0.0,0,529.5737006664276,363,16.483609199523926,23,92.6669576604103,14,1,0,10
OX26,1.1192928473154704,15,0.0,0,546.3630933761597,378,16.483609199523926,23,95.400480139677,14,1,0,10
OX26,1.8819450855255129,5,0.0,0,555.7728188037872,383,16.483609199523926,23,97.04823221300742,15,1,0,10
OX26,1.506914883852005,8,0.0,0,567.8281378746033,391,16.483609199523926,23,99.04517677869926,15,1,0,10
OX27,1.181272069613139,6,0.4230703353881836,5,553.3447093963623,536,148.20798873901367,286,89.71820980345726,13,1,0,10
OX27,0.8374595642089844,10,0.7721065924717829,13,561.7193050384521,546,158.24537444114685,299,91.5084063461994,13,1,0,10
OX28,0.7586755612317253,17,0.0,0,647.7935016155243,447,63.71862149238586,117,86.88856015779093,13,1,0,10
OX28,0.6421960592269897,4,0.0,0,650.3622858524323,451,63.71862149238586,117,89.06311637080869,13,1,0,10
OX29,1.4410749912261962,5,0.0,0,373.2109606266022,243,58.197410583496094,113,48.753548616039744,7,1,0,10
OX29,1.6020061140475066,23,0.0,0,410.0571012496948,266,58.197410583496094,113,53.16270404542228,7,1,0,10
OX29,2.370340871810913,5,0.0,0,603.0051670074463,406,61.529608488082886,117,78.67725337118524,13,1,0,10
OX29,1.2910955265948647,38,1.6839569409688313,3,652.0667970180511,444,66.58147931098938,120,84.73651525904897,13,1,0,10
OX31,4.446810603141785,2,0.0,0,258.2048416137696,236,81.16300845146179,294,58.64773078110528,7,1,0,10
OX31,0.8650175333023071,16,0.0,0,272.04512214660645,252,81.16300845146179,294,61.51898734177215,7,1,0,10
OX31,1.048965295155843,3,0.2833642959594726,1,314.3189024925232,286,96.51713705062866,324,71.55294844087682,10,1,0,10
OX31,1.493608872095744,15,0.0,0,336.7230355739593,301,96.51713705062866,324,75.36894103118247,10,1,0,10
OX31,1.0000209212303162,4,0.0,0,388.4334125518799,348,96.51713705062866,324,86.42173510342698,13,1,0,10
OX31,0.5063282684846357,22,0.0,0,399.5726344585418,370,96.51713705062866,324,89.51528249459709,13,1,0,10
OX32,1.1664600019101743,27,0.2743698462196018,46,235.7451868057251,224,87.80711460113525,220,27.142962525818824,1,1,0,10
OX32,0.8536743640899658,30,0.485396248953683,14,261.3554177284241,254,94.60266208648682,234,30.12319268220714,1,1,0,10
OX32,0.7657099678402856,21,0.0,0,277.43532705307007,275,94.60266208648682,234,31.915756860430804,2,1,0,10
OX32,0.558258158189279,54,0.1112060546875,4,307.58126759529114,329,95.04748630523682,238,36.408232516966656,2,1,0,10
OX32,0.7103032097220421,32,0.1434061867850167,14,443.1742677688599,499,114.0798635482788,316,52.93228090882266,6,1,0,10
OX32,0.6783638125971744,38,0.2131995558738708,4,468.9520926475525,537,114.93266177177428,320,56.620684567719096,6,1,0,10
OX32,0.68123117515019,28,0.0,0,488.0265655517578,565,114.93266177177428,320,59.00708173502508,7,1,0,10
OX32,0.7342880879129682,28,0.0,0,508.5866320133209,593,114.93266177177428,320,61.32339923281204,7,1,0,10
OX32,0.6614444709959484,21,0.3080015437943594,28,592.4867522716522,740,128.26566004753113,371,74.11847152552376,10,1,0,10
OX32,0.3814575620319532,46,0.1276586055755615,1,610.0338001251221,786,128.3933186531067,372,76.58970197698436,10,1,0,10
OX32,0.7730744679768881,18,0.1569983959197998,2,704.9887351989746,926,139.7415030002594,408,89.00486869282975,13,1,0,10
OX32,0.9246934936160132,21,0.5297203858693441,3,724.4072985649109,947,141.33066415786743,411,91.37651224550017,13,1,0,10
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,66.68309242225142,7,0,0,11
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,67.2634691195795,7,0,0,11
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,80.42597459483136,10,0,0,11
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,81.83858957512045,10,0,0,11
O21,2.0176339149475098,5,1.102602481842041,1,164.675683259964,204,27.4766948223114,71,53.02400738688827,7,0,0,11
O21,0.6437617329990163,17,0.0,0,175.6196327209473,221,27.4766948223114,71,55.57094490612496,7,0,0,11
O21,1.2288453380266826,12,0.2017405209717927,27,297.24448585510254,325,33.72728157043457,102,92.7362265312404,14,0,0,11
O21,0.4053905540042453,18,0.3447098391396658,7,304.54151582717896,343,36.14025044441223,109,94.79070483225608,14,0,0,11
O24,0.8249390125274658,4,0.0,0,216.55303597450256,154,1.1166131496429443,4,46.56023023160203,2,0,0,11
O24,0.0,0,0.0,0,216.55303597450256,154,1.1166131496429443,4,47.26599972591476,2,0,0,11
O24,5.208802580833435,2,0.0,0,298.22791266441345,202,1.1166131496429443,4,65.89009181855558,6,0,0,11
O24,0.9912896951039633,3,0.0,0,301.20178174972534,205,1.1166131496429443,4,67.93202686035357,6,0,0,11
O24,1.269866704940796,2,0.0,0,338.26655769348145,230,1.1166131496429443,4,77.33315060983966,9,0,0,11
O24,1.041204531987508,6,0.0,0,344.5137848854065,236,1.1166131496429443,4,78.64190763327395,9,0,0,11
O24,0.9082750976085664,8,0.0,0,372.7691099643707,250,1.1166131496429443,4,84.67863505550226,11,0,0,11
O24,1.1957132418950398,6,0.0,0,379.94338941574097,256,1.1166131496429443,4,87.03576812388653,11,0,0,11
O24,1.6303844451904297,7,0.91584050655365,2,396.2638325691223,266,2.948294162750244,6,92.5174729340825,13,0,0,11
O24,1.5057218074798584,3,1.217625617980957,2,400.7809979915619,269,5.383545398712158,8,93.64807455118542,13,0,0,11
O25,0.983558434706468,13,0.0,0,144.07080101966858,126,9.48855447769165,19,36.98671958479621,2,0,0,11
O25,2.408689546585083,5,0.0,0,156.114248752594,131,9.48855447769165,19,40.29919096321172,2,0,0,11
O25,0.6636755019426346,16,0.4443024794260661,3,234.52218747138977,236,14.759589195251465,36,68.88261334147458,6,0,0,11
O25,1.3342126607894895,2,0.0,0,237.19061279296875,238,14.759589195251465,36,69.82903373530759,6,0,0,11
