ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,reliance
O20,1.140784780184428,0.0,24,1,0.041666666666666664,0.0,2,0,1
O20,0.6306811968485514,0.0,15,1,0.06666666666666667,0.0,2,0,1
O20,1.0716393558602584,0.0,38,1,0.02631578947368421,0.0,3,0,1
O20,1.6598470211029053,0.0,6,1,0.16666666666666666,0.0,3,0,1
O20,0.305851936340332,0.0,3,1,0.3333333333333333,0.0,15,0,1
O20,0.7275063196818033,0.0,3,1,0.3333333333333333,0.0,15,0,1
O21,0.9197853008906046,0.0625751018524169,12,1,0.08333333333333333,0.06803229165744117,3,0,1
O21,1.4784033298492432,0.1662760972976684,2,2,1.0,0.11247005058803813,3,0,1
O21,0.8132852448357476,0.0,9,1,0.1111111111111111,0.0,9,0,1
O21,0.6835564374923706,0.3463318347930908,4,1,0.25,0.5066616533721934,9,0,1
O21,0.524164004759355,0.0,11,1,0.09090909090909091,0.0,10,0,1
O21,0.9873785972595216,0.0,3,1,0.3333333333333333,0.0,10,0,1
O21,2.017506380875905,0.0,12,1,0.08333333333333333,0.0,11,0,1
O21,2.750244736671448,0.0,2,1,0.5,0.0,11,0,1
O21,0.9232855002085368,0.3385062085257636,15,18,1.2,0.3666322155490444,15,0,1
O21,0.7815643548965454,0.1751892907278878,2,7,3.5,0.22415209909499695,15,0,1
O22,1.2985089719295502,0.0,8,1,0.125,0.0,2,0,1
O22,1.363114356994629,0.0,5,1,0.2,0.0,2,0,1
O22,3.727921152114868,0.0,10,1,0.1,0.0,6,0,1
O22,1.053375204404195,0.0,6,1,0.16666666666666666,0.0,6,0,1
O22,2.1537741747769443,0.0,11,1,0.09090909090909091,0.0,7,0,1
O22,0.7802762587865194,0.0,6,1,0.16666666666666666,0.0,7,0,1
O22,1.8627925713857008,0.0,12,1,0.08333333333333333,0.0,10,0,1
O22,1.2269245386123655,0.0,4,1,0.25,0.0,10,0,1
O22,1.829989300833808,0.0,9,1,0.1111111111111111,0.0,11,0,1
O22,1.4797539710998535,0.0,3,1,0.3333333333333333,0.0,11,0,1
O22,1.2337526082992554,0.0,14,1,0.07142857142857142,0.0,14,0,1
O22,3.118741750717163,0.0,2,1,0.5,0.0,14,0,1
O24,1.9740787943204243,0.0,12,1,0.08333333333333333,0.0,4,0,1
O24,0.5368479490280151,0.0,2,1,0.5,0.0,4,0,1
O24,2.223799735307693,0.0,8,1,0.125,0.0,5,0,1
O24,1.63591734568278,0.0,3,1,0.3333333333333333,0.0,12,0,1
O25,0.8469837506612142,0.2002401351928711,3,1,0.3333333333333333,0.23641555701222103,3,0,1
O25,0.8317327499389648,0.2667745351791382,15,2,0.13333333333333333,0.3207454981166907,3,0,1
O25,2.223390221595764,0.0,4,1,0.25,0.0,11,0,1
O25,1.303592824935913,0.0,5,1,0.2,0.0,11,0,1
O26,1.5065935525027188,0.2692540305001395,22,35,1.5909090909090908,0.17871709994567606,3,0,1
O26,1.1556516488393147,0.0,3,1,0.3333333333333333,0.0,3,0,1
O26,2.059737831354141,0.0,8,1,0.125,0.0,7,0,1
O26,1.6499882539113362,0.0,18,1,0.05555555555555555,0.0,7,0,1
O26,2.6576881068093434,0.0,7,1,0.14285714285714285,0.0,14,0,1
O26,1.4919591443292026,0.302192211151123,29,1,0.034482758620689655,0.20254724286501233,14,0,1
O26,1.1218736422689335,0.2699572823264382,38,11,0.2894736842105263,0.24063073786140748,15,0,1
O26,0.9157000269208636,0.4796128273010254,7,7,1.0,0.5237663134222823,15,0,1
O27,0.3815267562866211,0.0,10,1,0.1,0.0,2,0,1
O27,0.1254823207855224,0.0,3,1,0.3333333333333333,0.0,2,0,1
O27,0.4288682738939921,0.0,48,1,0.020833333333333332,0.0,5,0,1
O27,0.3003358159746442,0.0,7,1,0.14285714285714285,0.0,5,0,1
O27,0.3000591278076172,0.0,15,1,0.06666666666666667,0.0,7,0,1
O27,0.438535213470459,0.0,4,1,0.25,0.0,7,0,1
O27,0.3355228503545125,0.0,24,1,0.041666666666666664,0.0,13,0,1
O27,0.7992019653320312,0.0,1,1,1.0,0.0,13,0,1
O27,0.2551676432291667,0.0,9,1,0.1111111111111111,0.0,14,0,1
O28,0.9679463250296456,0.0,7,1,0.14285714285714285,0.0,2,0,1
O28,0.7723526954650879,0.0,4,1,0.25,0.0,2,0,1
O28,0.940512090921402,0.0,8,1,0.125,0.0,4,0,1
O28,1.4352260828018188,0.0,2,1,0.5,0.0,4,0,1
O28,0.912340203921,0.0,6,1,0.16666666666666666,0.0,7,0,1
O28,0.5918031930923462,0.0,8,1,0.125,0.0,7,0,1
O28,1.1216143767038982,0.0,6,1,0.16666666666666666,0.0,10,0,1
O28,0.9818312644958496,0.0,5,1,0.2,0.0,10,0,1
O28,1.207095205783844,0.0,4,1,0.25,0.0,11,0,1
O28,1.344654560089111,0.0,2,1,0.5,0.0,13,0,1
O28,2.175094246864319,0.0,2,1,0.5,0.0,13,0,1
O28,0.8076043128967285,0.0,8,1,0.125,0.0,15,0,1
O28,0.4809663295745849,0.0,1,1,1.0,0.0,15,0,1
O29,0.7299207846323649,1.2308243723476635,45,17,0.37777777777777777,1.6862437654348834,1,0,1
O29,0.5555681145709493,0.0891960461934407,23,3,0.13043478260869565,0.16054925373520484,1,0,1
O29,0.8538190885023638,0.5001792430877685,11,5,0.45454545454545453,0.5858140791453901,4,0,1
O29,0.7845042433057513,0.0,7,1,0.14285714285714285,0.0,4,0,1
O29,0.8110547512769699,0.3916754505851052,32,11,0.34375,0.4829210974578837,6,0,1
O29,0.7804340124130249,0.7467235088348388,2,5,2.5,0.956805440252461,6,0,1
O29,0.4586333632469177,0.5091110978807721,8,7,0.875,1.1100611919649603,7,0,1
O29,1.2731890678405762,0.5893001397450764,12,15,1.25,0.46285359702669576,7,0,1
O29,0.8694848219553629,0.9878299236297609,6,4,0.6666666666666666,1.1361094508909937,8,0,1
O29,1.0824767112731934,0.7390763759613037,5,5,1.0,0.6827642278714826,8,0,1
O29,1.942316007614136,1.100072513927113,10,11,1.1,0.566371542846109,9,0,1
O29,1.457951307296753,0.62833038965861,2,3,1.5,0.4309680210264519,9,0,1
O29,1.4660492897033692,0.7188576698303223,5,5,1.0,0.4903366311618153,10,0,1
O29,0.9910372893015544,0.4224193096160888,3,6,2.0,0.42623957158442943,10,0,1
O29,1.9008234739303589,1.0012593269348145,2,1,0.5,0.5267502956834265,12,0,1
O29,1.433372974395752,0.2548394884381975,3,7,2.3333333333333335,0.17779007487261073,12,0,1
O29,1.9248668352762857,0.5726619958877563,3,4,1.3333333333333333,0.29750733162045434,13,0,1
O29,1.8342987298965447,0.4957634210586548,4,4,1.0,0.2702740905711776,13,0,1
O30,4.784235749925886,0.0,7,1,0.14285714285714285,0.0,2,0,1
O30,0.9044400453567504,0.0,4,1,0.25,0.0,2,0,1
O30,2.953869342803955,0.0,15,1,0.06666666666666667,0.0,5,0,1
O30,2.065000136693319,0.0,3,1,0.3333333333333333,0.0,5,0,1
O31,1.4352446397145588,0.0,3,1,0.3333333333333333,0.0,7,0,1
