id,fixation_durations,fixation_counts,fixation_durations_elmo,fixations_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage,task
O20,1.106404606033774,68,0.20176367899950812,20,75.23551321029663,68,13.719930171966553,20,14.564169951817785,-1
O20,1.2060420904003206,61,0.00618645402251697,3,148.8040807247162,129,14.097303867340088,23,26.319535698642138,0
O20,1.2542619790349687,28,0.0,0,183.9234161376953,157,14.097303867340088,23,32.28756022777048,1
O20,0.979412579536438,40,0.0,0,223.09991931915283,197,14.097303867340088,23,38.75383267630311,2
O20,1.1518494920297102,44,0.0,0,273.7812969684601,241,14.097303867340088,23,46.75317564607972,3
O20,1.5456506490707398,20,0.006236135959625244,2,304.6943099498749,261,14.222026586532593,25,51.69732807709154,4
O20,2.1358365278977613,13,0.0,0,332.4601848125458,274,14.222026586532593,25,55.568331143232584,5
O20,1.5181847589987296,27,0.08493302486560962,8,373.4511733055115,301,16.515218257904053,33,64.93101182654402,6
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,67.2634691195795,7
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,72.76062198861148,8
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,77.87450722733246,9
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,81.83858957512045,10
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,85.43035479632063,11
O20,0.0,0,0.0,7,373.4511733055115,301,22.24910068511963,40,89.03307052124397,12
O20,0.0,0,0.0,0,373.4511733055115,301,22.24910068511963,40,92.29632063074902,13
O20,0.0,0,0.0,0,373.4511733055115,301,22.24910068511963,40,94.8532632501095,14
O20,1.5934554040431976,8,0.0,0,386.19881653785706,309,22.24910068511963,40,99.99452474813842,15
O21,0.5494941499498155,45,0.27103388574388293,32,24.7272367477417,45,12.196524858474731,32,8.47953216374269,-1
O21,0.501738925133982,62,0.14761426371912803,21,55.835050106048584,107,21.34860920906067,53,20.975684826100338,0
O21,1.0872752904891967,10,0.06320586204528808,3,66.70780301094055,117,21.98066782951355,56,24.730686365035396,1
O21,2.4264094034830728,9,0.0,0,88.54548764228821,126,21.98066782951355,56,28.93967374576793,2
O21,1.6432311058044433,15,0.026341819763183595,3,113.19395422935486,141,22.375795125961304,59,35.141582025238534,3
O21,0.7757395958078319,29,0.03814714530418659,3,135.69040250778198,170,23.482062339782715,62,40.28931979070483,4
O21,1.6534387071927388,12,0.24100250005722046,8,155.53166699409485,182,26.37409234046936,70,44.552169898430286,5
O21,0.8767981114594833,23,0.0,0,175.69802355766296,205,26.37409234046936,70,49.445983379501385,6
O21,1.059607920439347,23,0.047939238340958305,1,200.06900572776794,228,27.4766948223114,71,55.570944906124964,7
O21,0.839768648147583,26,0.0,0,221.9029905796051,254,27.4766948223114,71,60.81871345029239,8
O21,0.7869220290865216,14,0.024737988199506487,1,232.9198989868164,268,27.823026657104492,72,66.76669744536781,9
O21,0.8626472314198812,15,0.0,0,245.85960745811462,283,27.823026657104492,72,71.97599261311173,10
O21,2.0348001162211102,15,0.0,0,276.3816092014313,298,27.823026657104492,72,78.41643582640813,11
O21,2.310622735456987,11,0.0,0,301.79845929145813,309,27.823026657104492,72,84.05663281009541,12
O21,1.3366004079580307,16,0.028578802943229675,3,323.1840658187866,325,28.280287504196167,75,88.96583564173592,13
O21,0.7347724676132202,30,0.2850773493448893,35,345.2272398471832,355,36.83260798454285,110,94.79070483225608,14
O21,0.9780378859976063,23,0.3709772773410963,30,367.7221112251282,378,45.36508536338806,140,99.99230532471529,15
O22,2.0781524428005875,58,0.3122118464831648,44,120.53284168243408,58,18.10828709602356,44,20.131973605278944,-1
O22,5.424373358488083,16,0.0,0,207.3228154182434,74,18.10828709602356,44,32.47750449910018,0
