ID,computer_fixation_count,elmo_fixation_count,computer_average_fixation_duration,elmo_average_fixation_duration,computer_total_fixation_duration,elmo_total_fixation_duration,game_time,relative_count,relative_duration,XAI_value,elmo_fixation_rate,computer_fixation_rate,elmo_fixation_percentage,computer_fixation_percentage
O20,314,41,1.278642015851987,0.590730021639568,401.4935929775238,24.21993088722229,865.9520316123962,0.1305732484076433,0.0603245763091869,0,0.047346733425474276,0.3626066901365591,0.056892556917964465,0.9431074430820355
O21,389,170,1.0035224071198687,0.3236363691442153,390.3702163696289,55.0181827545166,575.9364776611328,0.4370179948586118,0.1409384744209626,0,0.29517144093801245,0.6754217089699226,0.12352854915554522,0.8764714508444548
O22,303,44,2.2804302114858093,0.4115519794550809,690.9703540802002,18.10828709602356,792.9497430324554,0.1452145214521452,0.0262070391140424,0,0.05548901476622218,0.38211753350375727,0.02553776978246789,0.9744622302175321
O24,319,23,1.6449768446082231,0.5923919470413871,524.7476134300232,13.625014781951904,582.9379260540009,0.0721003134796238,0.0259648913749063,0,0.03945531586131416,0.5472280765112703,0.02530777767659333,0.9746922223234067
O25,345,60,1.21322495488153,0.3822226325670878,418.5626094341278,22.93335795402527,598.9335744380951,0.1739130434782608,0.0547907468013682,0,0.10017805406265719,0.5760238108602788,0.05194466008307339,0.9480553399169266
O26,570,379,1.3659016107258044,0.3804114657530369,778.5639181137085,144.175945520401,972.9925136566162,0.6649122807017543,0.1851818998621308,0,0.38951995486139457,0.5858215679973481,0.1562476611258344,0.8437523388741656
O27,383,6,0.3492588330809192,0.1052847305933634,133.7661330699921,0.6317083835601807,1013.9396224021912,0.0156657963446475,0.0047224837039255,0,0.005917512115548858,0.3777345233758687,0.0047002866766911455,0.9952997133233089
O28,312,67,1.1527884228107257,0.6302154348857367,359.6699879169464,42.22443413734436,420.90913343429565,0.2147435897435897,0.1173977133368566,0,0.15917924957658056,0.7412526248939274,0.10506349882019607,0.894936501179804
O29,474,242,0.8444452486963715,0.7740334213272599,400.2670478820801,187.3160879611969,465.98102593421936,0.510548523206751,0.4679777887096537,0,0.5193344503991932,1.0172087995422214,0.3187907830138249,0.6812092169861751
O30,395,1,1.6845474943330017,0.0628612041473388,665.3962602615356,0.0628612041473388,869.9546957015991,0.0025316455696202,9.44718326529684e-05,0,0.001149485145537978,0.4540466324875013,9.446290856887816e-05,0.9999055370914312
O31,231,3,1.4605407611632244,1.0713926156361897,337.38491582870483,3.2141778469085693,490.9874331951141,0.0129870129870129,0.0095267384406137,0,0.006110136018100135,0.47048047339371035,0.009436836170708524,0.9905631638292914
O32,592,385,1.146980293699213,0.5146316763642547,679.0123338699341,198.13319540023804,822.9088315963745,0.6503378378378378,0.2917961655733204,0,0.4678525557358913,0.7193992545341498,0.22588406232326638,0.7741159376767336
O33,700,44,0.9338770808492388,0.2398532574827021,653.7139565944672,10.553543329238892,901.9581758975984,0.0628571428571428,0.0161439773815106,0,0.048782749772418976,0.7760892009248473,0.015887490100676326,0.9841125098993236
O34,265,322,1.5480365465272148,0.4626710066884201,410.2296848297119,148.98006415367126,460.9280600547791,1.2150943396226417,0.363162563956125,0,0.6985905782384605,0.5749270286745094,0.2664117791660642,0.7335882208339358
OX20,490,1087,1.8946998352907145,0.3994348185152336,928.40291929245,434.18564772605896,1060.9523050785065,2.218367346938776,0.4676694123893519,1,1.0245512402365402,0.46184922512962717,0.3186476521493969,0.6813523478506032
OX21,290,71,1.730144897822676,0.37873645903359,501.7420203685761,26.890288591384888,608.9503509998322,0.2448275862068965,0.0535938540121305,1,0.11659407024468497,0.4762293009994175,0.050867660064685113,0.949132339935315
OX22,350,210,2.489624250275748,0.3199024563743954,871.3684875965118,67.17951583862305,960.9952096939088,0.6,0.077096563388382,1,0.21852346180465157,0.36420576967441926,0.07157813515424091,0.9284218648457591
OX23,265,5,0.9016248658018292,0.3970712661743164,238.9305894374848,1.985356330871582,537.9747903347015,0.0188679245283018,0.0083093434605661,1,0.009294115802134975,0.4925881375131537,0.00824086726405618,0.9917591327359438
OX24,670,328,1.1813528189018592,0.4505079003368936,791.5063886642456,147.7665913105011,938.9831211566924,0.4895522388059701,0.1866903330494571,1,0.34931405326642195,0.7135378527088497,0.15732017683982982,0.8426798231601702
OX25,890,48,1.135209705856409,0.4374652504920959,1010.336638212204,20.998332023620605,1343.9664227962494,0.0539325842696629,0.0207835004981876,1,0.035715177987952595,0.6622189251932877,0.020360341333930658,0.9796396586660694
OX26,425,23,1.6123878422905418,0.7166786608488663,685.2648329734802,16.483609199523926,776.9790811538696,0.0541176470588235,0.0240543632277155,1,0.02960182655862929,0.546990273365976,0.02348934206178141,0.9765106579382186
OX27,610,417,1.0972511909047111,0.5390129912671425,669.3232264518738,224.76841735839844,844.9602353572845,0.6836065573770492,0.3358144592559719,1,0.4935143484280949,0.721927464127429,0.25139304109869826,0.7486069589013018
OX28,518,117,1.577526865778743,0.5446036024990245,817.1589164733887,63.71862149238586,974.9774973392488,0.2258687258687258,0.0779758015336554,1,0.12000276962216821,0.5312943133699414,0.07233539140926712,0.9276646085907329
OX29,560,131,1.5309348906789506,0.5533211540629845,857.3235387802124,72.48507118225098,1007.9403290748596,0.2339285714285714,0.0845480940432146,1,0.12996801122169468,0.5555884449171682,0.07795697996943395,0.922043020030566
OX31,440,325,1.313494593446905,0.3021686950096717,577.9376211166382,98.20482587814332,664.9831595420837,0.7386363636363636,0.1699228814493871,1,0.48873418121415185,0.6616708914899286,0.1452428054393415,0.8547571945606585
