id,fixation_durations,fixation_counts,fixation_durations_elmo,fixations_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage,task
O20,75.23551321029663,68,13.719930171966553,20,75.23551321029663,68,13.719930171966553,20,14.323258869908015,-1
O20,72.51132822036743,59,0.37737369537353516,3,147.74684143066406,127,14.097303867340088,23,26.073149364870783,0
O20,33.22062397003174,28,0.0,0,180.9674654006958,155,14.097303867340088,23,31.32939115199299,1
O20,3.1511950492858887,2,0.0,0,184.1186604499817,157,14.097303867340088,23,32.04117389399912,1
O20,0.0,0,0.0,0,184.1186604499817,157,14.097303867340088,23,32.28756022777048,1
O20,27.37883472442627,24,0.0,0,211.49749517440796,181,14.097303867340088,23,36.498028909329825,2
O20,9.460217952728271,15,0.0,0,220.95771312713623,196,14.097303867340088,23,38.52387209811651,2
O20,0.0,0,0.0,0,220.95771312713623,196,14.097303867340088,23,38.75383267630311,2
O20,40.72229552268982,38,0.0,0,261.68000864982605,234,14.097303867340088,23,44.973718791064385,3
O20,7.908706426620483,5,0.0,0,269.58871507644653,239,14.097303867340088,23,46.51226456416995,3
O20,0.0,0,0.0,0,269.58871507644653,239,14.097303867340088,23,46.75317564607972,3
O20,27.058542490005493,18,0.12472271919250488,2,296.647257566452,257,14.222026586532593,25,51.00744634253176,4
O20,2.9337000846862793,1,0.0,0,299.5809576511383,258,14.222026586532593,25,51.47284275076653,4
O20,0.0,0,0.0,0,299.5809576511383,258,14.222026586532593,25,51.69732807709154,4
O20,22.77814221382141,12,0.0,0,322.3590998649597,270,14.222026586532593,25,54.987954445904506,5
O20,0.0,0,0.0,0,322.3590998649597,270,14.222026586532593,25,55.3328953131844,5
O20,0.0,0,0.0,0,322.3590998649597,270,14.222026586532593,25,55.568331143232584,5
O20,40.9909884929657,27,2.29319167137146,8,363.3500883579254,297,16.515218257904053,33,64.00569426193606,6
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,64.70105124835742,6
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,64.93101182654402,6
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,66.68309242225142,7
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,67.02803328953132,7
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,67.2634691195795,7
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,72.18572054314498,8
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,72.53066141042488,8
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,72.76062198861148,8
