id,fixation_durations,fixation_counts,fixation_durations_elmo,fixations_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage,task
O20,75.23551321029663,68,13.719930171966553,20,75.23551321029663,68,13.719930171966553,20,14.564169951817785,-1
O20,73.56856751441956,61,0.37737369537353516,3,148.8040807247162,129,14.097303867340088,23,26.319535698642138,0
O20,35.119335412979126,28,0.0,0,183.9234161376953,157,14.097303867340088,23,32.28756022777048,1
O20,39.17650318145752,40,0.0,0,223.09991931915283,197,14.097303867340088,23,38.75383267630311,2
O20,50.68137764930725,44,0.0,0,273.7812969684601,241,14.097303867340088,23,46.75317564607972,3
O20,30.913012981414795,20,0.12472271919250488,2,304.6943099498749,261,14.222026586532593,25,51.69732807709154,4
O20,27.7658748626709,13,0.0,0,332.4601848125458,274,14.222026586532593,25,55.568331143232584,5
O20,40.9909884929657,27,2.29319167137146,8,373.4511733055115,301,16.515218257904053,33,64.93101182654402,6
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,67.2634691195795,7
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,72.76062198861148,8
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,77.87450722733246,9
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,81.83858957512045,10
O20,0.0,0,0.0,0,373.4511733055115,301,16.515218257904053,33,85.43035479632063,11
O20,0.0,0,5.733882427215576,7,373.4511733055115,301,22.24910068511963,40,89.03307052124397,12
O20,0.0,0,0.0,0,373.4511733055115,301,22.24910068511963,40,92.29632063074902,13
O20,0.0,0,0.0,0,373.4511733055115,301,22.24910068511963,40,94.8532632501095,14
O20,12.747643232345581,8,0.0,0,386.19881653785706,309,22.24910068511963,40,99.99452474813842,15
O21,24.7272367477417,45,12.196524858474731,32,24.7272367477417,45,12.196524858474731,32,8.47953216374269,-1
O21,31.107813358306885,62,9.152084350585938,21,55.835050106048584,107,21.34860920906067,53,20.975684826100338,0
O21,10.872752904891968,10,0.6320586204528809,3,66.70780301094055,117,21.98066782951355,56,24.730686365035396,1
O21,21.837684631347656,9,0.0,0,88.54548764228821,126,21.98066782951355,56,28.93967374576793,2
O21,24.64846658706665,15,0.3951272964477539,3,113.19395422935486,141,22.375795125961304,59,35.141582025238534,3
O21,22.496448278427124,29,1.1062672138214111,3,135.69040250778198,170,23.482062339782715,62,40.28931979070483,4
O21,19.841264486312866,12,2.8920300006866455,8,155.53166699409485,182,26.37409234046936,70,44.552169898430286,5
O21,20.166356563568115,23,0.0,0,175.69802355766296,205,26.37409234046936,70,49.445983379501385,6
O21,24.37098217010498,23,1.102602481842041,1,200.06900572776794,228,27.4766948223114,71,55.570944906124964,7
O21,21.833984851837158,26,0.0,0,221.9029905796051,254,27.4766948223114,71,60.81871345029239,8
O21,11.016908407211304,14,0.3463318347930908,1,232.9198989868164,268,27.823026657104492,72,66.76669744536781,9
O21,12.939708471298218,15,0.0,0,245.85960745811462,283,27.823026657104492,72,71.97599261311173,10
O21,30.52200174331665,15,0.0,0,276.3816092014313,298,27.823026657104492,72,78.41643582640813,11
O21,25.416850090026855,11,0.0,0,301.79845929145813,309,27.823026657104492,72,84.05663281009541,12
O21,21.38560652732849,16,0.4572608470916748,3,323.1840658187866,325,28.280287504196167,75,88.96583564173592,13
O21,22.043174028396606,30,8.55232048034668,35,345.2272398471832,355,36.83260798454285,110,94.79070483225608,14
O21,22.494871377944946,23,8.532477378845215,30,367.7221112251282,378,45.36508536338806,140,99.99230532471529,15
O22,120.53284168243408,58,18.10828709602356,44,120.53284168243408,58,18.10828709602356,44,20.131973605278944,-1
O22,86.78997373580933,16,0.0,0,207.3228154182434,74,18.10828709602356,44,32.47750449910018,0
O22,31.351195335388184,11,0.0,0,238.6740107536316,85,18.10828709602356,44,36.95860827834433,1
O22,23.285858392715454,14,0.0,0,261.95986914634705,99,18.10828709602356,44,41.571685662867424,2
O22,23.584676265716553,13,0.0,0,285.5445454120636,112,18.10828709602356,44,45.89082183563287,3
O22,19.02971339225769,12,0.0,0,304.5742588043213,124,18.10828709602356,44,50.37792441511698,4
O22,26.115734100341797,15,0.0,0,330.6899929046631,139,18.10828709602356,44,54.69106178764247,5
O22,44.48493576049805,17,0.0,0,375.17492866516113,156,18.10828709602356,44,61.15776844631073,6
O22,28.373173475265503,17,0.0,0,403.54810214042664,173,18.10828709602356,44,65.36292741451709,7
O22,23.92131519317627,15,0.0,0,427.4694173336029,188,18.10828709602356,44,70.10197960407918,8
O22,22.11676549911499,12,0.0,0,449.5861828327179,200,18.10828709602356,44,73.43131373725255,9
O22,28.466771602630615,17,0.0,0,478.0529544353485,217,18.10828709602356,44,78.03239352129575,10
O22,22.773475646972656,13,0.0,0,500.82643008232117,230,18.10828709602356,44,82.11157768446311,11
O22,19.68621253967285,7,0.0,0,520.512642621994,237,18.10828709602356,44,85.59688062387522,12
O22,20.21624994277954,7,0.0,0,540.7288925647736,244,18.10828709602356,44,88.81823635272946,13
O22,23.5100200176239,16,0.0,0,564.2389125823975,260,18.10828709602356,44,92.9634073185363,14
O22,44.54959487915039,29,0.0,0,608.7885074615479,289,18.10828709602356,44,99.99400119976005,15
O24,147.02539157867432,93,0.9501445293426514,3,147.02539157867432,93,0.9501445293426514,3,29.601205975058242,-1
O24,52.868929862976074,46,0.16646862030029297,1,199.8943214416504,139,1.1166131496429443,4,40.509798547348225,0
