id,fixation_durations,fixation_counts,fixation_durations_elmo,fixations_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage,task
O20,75.23551321029663,68,13.719930171966553,20,75.23551321029663,68,13.719930171966553,20,14.323258869908015,-1
O20,72.51132822036743,59,0.37737369537353516,3,147.74684143066406,127,14.097303867340088,23,26.073149364870783,0
O20,33.22062397003174,28,0.0,0,180.9674654006958,155,14.097303867340088,23,31.32939115199299,1
O20,6.213589668273926,3,0.0,0,187.18105506896973,158,14.097303867340088,23,32.28756022777048,1
O20,27.37883472442627,24,0.0,0,214.559889793396,182,14.097303867340088,23,36.498028909329825,2
O20,9.460217952728271,15,0.0,0,224.02010774612427,197,14.097303867340088,23,38.75383267630311,2
O20,40.72229552268982,38,0.0,0,264.7424032688141,235,14.097303867340088,23,44.973718791064385,3
O20,9.959082126617432,6,0.0,0,274.7014853954315,241,14.097303867340088,23,46.75317564607972,3
O20,27.058542490005493,18,0.12472271919250488,2,301.760027885437,259,14.222026586532593,25,51.00744634253176,4
O20,2.9337000846862793,1,0.0,0,304.6937279701233,260,14.222026586532593,25,51.69732807709154,4
O20,22.77814221382141,12,0.0,0,327.4718701839447,272,14.222026586532593,25,54.987954445904506,5
O20,0.0,0,0.0,0,327.4718701839447,272,14.222026586532593,25,55.568331143232584,5
O20,40.9909884929657,27,2.29319167137146,8,368.4628586769104,299,16.515218257904053,33,64.00569426193606,6
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,64.93101182654402,6
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,66.68309242225142,7
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,67.2634691195795,7
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,72.18572054314498,8
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,72.76062198861148,8
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,76.59877354358301,9
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,77.87450722733246,9
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,80.42597459483136,10
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,81.83858957512045,10
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,84.49956197985107,11
O20,0.0,0,0.0,0,368.4628586769104,299,16.515218257904053,33,85.43035479632063,11
O20,0.0,0,4.27867317199707,6,368.4628586769104,299,20.793891429901123,39,88.33223828296101,12
O20,0.0,0,1.4552092552185059,1,368.4628586769104,299,22.24910068511963,40,89.03307052124397,12
