id,fixation_durations,fixation_counts,fixation_durations_elmo,fixations_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage
O20,13.721993446350098,12,6.042457342147827,11,13.721993446350098,12,6.042457342147827,11,4.998904949627683
O20,32.05116009712219,30,2.962895631790161,8,45.77315354347229,42,9.005352973937988,19,9.997809899255365
O20,29.46235966682434,26,0.0,0,75.23551321029663,68,9.005352973937988,19,14.99671484888305
O20,27.195495128631592,27,0.0,0,102.43100833892822,95,9.005352973937988,19,19.99561979851073
O20,29.87158179283142,19,0.37737369537353516,3,132.30259013175964,114,9.382726669311523,22,24.994524748138414
O20,29.22382354736328,32,0.0,0,161.52641367912292,146,9.382726669311523,22,29.9934296977661
O20,33.553245544433594,20,0.0,0,195.07965922355652,166,9.382726669311523,22,34.99233464739378
O20,26.480252027511597,37,0.0,0,221.55991125106812,203,9.382726669311523,22,39.99123959702146
O20,32.12917160987854,30,0.0,0,253.68908286094666,233,9.382726669311523,22,44.99014454664915
O20,29.451031923294067,21,0.12472271919250488,2,283.1401147842407,254,9.507449388504028,24,49.98904949627683
O20,33.50515413284302,17,0.0,0,316.64526891708374,271,9.507449388504028,24,54.987954445904506
O20,30.224812746047974,13,0.7611515522003174,2,346.8700816631317,284,10.268600940704346,26,59.9868593955322
O20,14.639211416244507,14,1.5320401191711426,6,361.5092930793762,298,11.800641059875488,32,64.98576434515988
O20,0.0,0,0.0,0,361.5092930793762,298,11.800641059875488,32,69.98466929478757
O20,0.0,0,0.0,0,361.5092930793762,298,11.800641059875488,32,74.98357424441524
O20,0.0,0,0.0,0,361.5092930793762,298,11.800641059875488,32,79.98247919404292
O20,0.0,0,0.0,0,361.5092930793762,298,11.800641059875488,32,84.98138414367061
O20,0.0,0,7.704712629318237,8,361.5092930793762,298,19.505353689193726,40,89.9802890932983
O20,0.0,0,0.0,0,361.5092930793762,298,19.505353689193726,40,94.97919404292597
O20,3.711575746536255,7,0.0,0,365.2208688259125,305,19.505353689193726,40,99.97809899255365
O21,14.770554780960083,16,6.485987424850464,15,14.770554780960083,16,6.485987424850464,15,4.993844259772238
O21,17.43911075592041,37,6.655534505844116,18,32.20966553688049,53,13.14152193069458,33,9.987688519544475
O21,10.819087266921997,23,5.543770790100098,9,43.02875280380249,76,18.685292720794678,42,14.981532779316714
O21,12.335998773574829,29,1.9528679847717285,9,55.36475157737732,105,20.638160705566406,51,19.97537703908895
O21,13.867903709411621,15,1.0115222930908203,4,69.23265528678894,120,21.649682998657227,55,24.96922129886119
O21,27.020942449569702,11,0.0,0,96.25359773635864,131,21.649682998657227,55,29.963065558633428
O21,23.939634561538696,13,0.3951272964477539,3,120.19323229789734,144,22.04481029510498,58,34.95690981840566
O21,20.734564542770386,26,1.1062672138214111,3,140.92779684066772,170,23.15107750892639,61,39.9507540781779
O21,23.350019931793213,16,2.8920300006866455,8,164.27781677246094,186,26.043107509613037,69,44.94459833795014
O21,18.64180040359497,22,1.102602481842041,1,182.9196171760559,208,27.145709991455078,70,49.93844259772238
O21,21.339739322662354,20,0.0,0,204.25935649871826,228,27.145709991455078,70,54.93228685749462
O21,18.86926817893982,22,0.0,0,223.12862467765808,250,27.145709991455078,70,59.926131117266856
O21,9.615038394927979,14,0.0,0,232.74366307258606,264,27.145709991455078,70,64.91997537703908
O21,7.348674058914185,15,0.3463318347930908,1,240.09233713150024,279,27.49204182624817,71,69.91381963681133
O21,16.12663984298706,12,0.0,0,256.2189769744873,291,27.49204182624817,71,74.90766389658357
O21,19.23604154586792,12,0.0,0,275.4550185203552,303,27.49204182624817,71,79.9015081563558
O21,22.693380117416382,9,0.23681139945983887,1,298.1483986377716,312,27.728853225708008,72,84.89535241612805
O21,19.1141357421875,18,1.2302367687225342,7,317.2625343799591,330,28.959089994430542,79,89.88919667590028
O21,15.123857259750366,27,7.8573713302612305,31,332.3863916397095,357,36.81646132469177,110,94.88304093567251
O21,21.317460536956787,21,8.342023372650146,29,353.70385217666626,378,45.15848469734192,139,99.87688519544476
O22,22.088927030563354,17,0.5700912475585938,2,22.088927030563354,17,0.5700912475585938,2,4.997000599880024
O22,23.03817844390869,10,10.97570514678955,24,45.127105474472046,27,11.545796394348145,26,9.994001199760048
O22,23.443685293197632,9,6.562490701675415,18,68.57079076766968,36,18.10828709602356,44,14.991001799640072
O22,30.713776111602783,19,0.0,0,99.28456687927246,55,18.10828709602356,44,19.988002399520095
O22,28.798383712768555,7,0.0,0,128.08295059204102,62,18.10828709602356,44,24.98500299940012
O22,22.86598014831543,4,0.0,0,150.94893074035645,66,18.10828709602356,44,29.982003599280144
O22,33.64756417274475,11,0.0,0,184.5964949131012,77,18.10828709602356,44,34.979004199160165
O22,26.300221920013428,12,0.0,0,210.89671683311462,89,18.10828709602356,44,39.97600479904019
O22,26.593026876449585,17,0.0,0,237.4897437095642,106,18.10828709602356,44,44.97300539892022
O22,34.85144257545471,13,0.0,0,272.3411862850189,119,18.10828709602356,44,49.97000599880024
O22,28.56753182411194,16,0.0,0,300.90871810913086,135,18.10828709602356,44,54.96700659868027
O22,36.301535844802856,10,0.0,0,337.2102539539337,145,18.10828709602356,44,59.96400719856029
O22,31.333719730377197,20,0.0,0,368.5439736843109,165,18.10828709602356,44,64.9610077984403
O22,26.823879957199097,18,0.0,0,395.36785364151,183,18.10828709602356,44,69.95800839832033
O22,32.0823814868927,16,0.0,0,427.4502351284027,199,18.10828709602356,44,74.95500899820036
