ID,task,human_decision_time,human_ai_decision_time,XAI_value,subtracted_human_ai_decision_time
O29,10,14.0,3.0,0,0.0
O29,11,5.0,3.0,0,0.0
O29,12,5.0,4.0,0,1.0
O29,13,7.0,6.0,0,3.0
O29,14,4.0,6.0,0,3.0
O29,15,5.0,4.0,0,1.0
O30,1,38.0,9.0,0,6.0
O30,2,40.0,9.0,0,6.0
O30,3,43.0,8.0,0,5.0
O30,4,34.0,5.0,0,2.0
O30,5,59.0,10.0,0,7.0
O30,6,53.0,7.0,0,4.0
O30,7,39.0,19.0,0,16.0
O30,8,35.0,7.0,0,4.0
O30,9,20.0,4.0,0,1.0
O30,10,20.0,4.0,0,1.0
O30,11,39.0,4.0,0,1.0
O30,12,22.0,3.0,0,0.0
O30,13,12.0,4.0,0,1.0
O30,14,20.0,4.0,0,1.0
O30,15,14.0,3.0,0,0.0
O31,1,10.0,2.0,0,-1.0
O31,2,5.0,6.0,0,3.0
O31,3,24.0,5.0,0,2.0
O31,4,10.0,5.0,0,2.0
O31,5,5.0,6.0,0,3.0
O31,6,11.0,4.0,0,1.0
O31,7,7.0,3.0,0,0.0
O31,8,5.0,3.0,0,0.0
O31,9,13.0,14.0,0,11.0
O31,10,5.0,7.0,0,4.0
O31,11,6.0,6.0,0,3.0
O31,12,17.0,5.0,0,2.0
O31,13,4.0,4.0,0,1.0
O31,14,4.0,7.0,0,4.0
O31,15,8.0,4.0,0,1.0
O32,1,42.0,6.0,0,3.0
O32,2,34.0,6.0,0,3.0
O32,3,35.0,3.0,0,0.0
O32,4,28.0,6.0,0,3.0
O32,5,29.0,4.0,0,1.0
O32,6,30.0,15.0,0,12.0
O32,7,47.0,5.0,0,2.0
O32,8,33.0,3.0,0,0.0
O32,9,32.0,4.0,0,1.0
O32,10,31.0,10.0,0,7.0
O32,11,21.0,3.0,0,0.0
O32,12,18.0,3.0,0,0.0
O32,13,29.0,4.0,0,1.0
O32,14,25.0,4.0,0,1.0
O32,15,35.0,4.0,0,1.0
O33,1,43.0,13.0,0,10.0
O33,2,58.0,3.0,0,0.0
O33,3,57.0,6.0,0,3.0
O33,4,50.0,5.0,0,2.0
O33,5,41.0,37.0,0,34.0
O33,6,48.0,3.0,0,0.0
O33,7,32.0,16.0,0,13.0
O33,8,29.0,4.0,0,1.0
O33,9,30.0,7.0,0,4.0
O33,10,23.0,3.0,0,0.0
O33,11,28.0,2.0,0,-1.0
O33,12,16.0,2.0,0,-1.0
O33,13,33.0,2.0,0,-1.0
O33,14,17.0,3.0,0,0.0
O33,15,32.0,3.0,0,0.0
O34,1,18.0,4.0,0,1.0
O34,2,10.0,4.0,0,1.0
O34,3,14.0,7.0,0,4.0
O34,4,14.0,5.0,0,2.0
O34,5,19.0,3.0,0,0.0
O34,6,16.0,3.0,0,0.0
O34,7,13.0,5.0,0,2.0
O34,8,13.0,9.0,0,6.0
O34,9,13.0,4.0,0,1.0
O34,10,8.0,3.0,0,0.0
O34,11,5.0,3.0,0,0.0
O34,12,8.0,3.0,0,0.0
O34,13,5.0,3.0,0,0.0
O34,14,11.0,3.0,0,0.0
O34,15,9.0,3.0,0,0.0
OX20,1,30.0,22.0,1,6.0
OX20,2,28.0,21.0,1,2.0
OX20,3,22.0,14.0,1,1.0
OX20,4,27.0,16.0,1,2.0
