ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,matching_decision
OX25,0.3196090857187907,0.0,3,1,0.3333333333333333,0.0,1,1,1
OX25,0.5919850363450891,0.0,34,1,0.029411764705882353,0.0,4,1,1
OX25,0.3527472019195556,0.0,5,1,0.2,0.0,8,1,1
OX25,1.0498491525650024,0.0,2,1,0.5,0.0,9,1,1
OX25,0.9672389904658,0.1908332771725124,30,9,0.3,0.19729692356654427,10,1,1
OX25,0.3557858943939209,0.0,5,1,0.2,0.0,12,1,1
OX25,1.2131680846214294,0.0,20,1,0.05,0.0,14,1,1
OX25,0.3349413531167166,0.0,7,1,0.14285714285714285,0.0,15,1,1
OX26,1.0186694463094077,0.0,3,1,0.3333333333333333,0.0,3,1,1
OX26,1.1115401224656538,0.0,11,1,0.09090909090909091,0.0,4,1,1
OX26,1.9025717377662656,0.0,4,1,0.25,0.0,5,1,1
OX26,1.147286295890808,0.0,2,1,0.5,0.0,11,1,1
OX27,0.6567771434783936,0.0,4,1,0.25,0.0,1,1,1
OX27,0.6458783626556397,0.0,5,1,0.2,0.0,3,1,1
OX27,0.6259429454803467,0.0,3,1,0.3333333333333333,0.0,4,1,1
OX27,1.044828732808431,0.0,3,1,0.3333333333333333,0.0,5,1,1
OX27,0.8475983937581381,0.0,3,1,0.3333333333333333,0.0,9,1,1
OX28,0.5738870104153951,0.0,12,1,0.08333333333333333,0.0,1,1,1
OX28,2.1986504793167114,0.2927633126576741,4,3,0.75,0.13315591332582247,2,1,1
OX28,0.9250012397766112,0.0,5,1,0.2,0.0,4,1,1
OX28,1.761712948481242,0.0,15,1,0.06666666666666667,0.0,5,1,1
OX28,0.5524858633677164,0.0,6,1,0.16666666666666666,0.0,10,1,1
OX28,0.9674478258405412,0.0,7,1,0.14285714285714285,0.0,11,1,1
OX28,1.5193002905164446,0.0,7,1,0.14285714285714285,0.0,14,1,1
OX28,1.3881735801696775,0.0,1,1,1.0,0.0,15,1,1
OX29,1.198717737197876,0.0,5,1,0.2,0.0,3,1,1
OX29,1.6685286998748778,0.0,5,1,0.2,0.0,5,1,1
OX29,0.8436305125554403,0.0,12,1,0.08333333333333333,0.0,6,1,1
OX29,1.01222829023997,0.0,6,1,0.16666666666666666,0.0,8,1,1
OX29,1.2963602687373306,0.0,33,1,0.030303030303030304,0.0,10,1,1
OX29,1.4425190091133118,0.0,8,1,0.125,0.0,11,1,1
OX29,1.793478298187256,0.0,10,1,0.1,0.0,12,1,1
OX29,1.1850789966005268,0.0750091075897216,33,2,0.06060606060606061,0.0632946055114384,14,1,1
OX29,1.865277886390686,0.0,4,1,0.25,0.0,15,1,1
OX31,0.4510905742645263,0.1904911994934082,3,1,0.3333333333333333,0.42229035666283127,3,1,1
OX31,1.1178083419799805,0.0,3,1,0.3333333333333333,0.0,4,1,1
OX31,0.279552698135376,0.0,3,1,0.3333333333333333,0.0,8,1,1
OX31,0.1631344556808471,0.3236567974090576,2,4,2.0,1.9839879690545148,9,1,1
OX31,1.1359604597091677,0.0,2,1,0.5,0.0,11,1,1
OX31,0.9878782033920288,0.0,2,1,0.5,0.0,12,1,1
OX32,0.91432785987854,0.0,6,1,0.16666666666666666,0.0,3,1,1
OX32,1.4298861026763916,0.1899038553237915,6,6,1.0,0.1328104769801865,5,1,1
OX32,0.8856426080067953,0.1582452058792114,15,6,0.4,0.17867840192936746,8,1,1
OX32,0.3219966207231794,0.220910906791687,7,2,0.2857142857142857,0.6860659167650215,9,1,1
OX32,0.9749687584963712,0.6947345733642578,11,1,0.09090909090909091,0.7125711129818152,11,1,1
OX32,0.2811943462916783,0.0,7,1,0.14285714285714285,0.0,12,1,1
OX32,0.7823757648468017,0.3765139281749725,5,8,1.6,0.48124436503819656,14,1,1
OX32,0.4706666668256123,0.0,12,1,0.08333333333333333,0.0,15,1,1
OX33,2.31508469581604,0.0,1,1,1.0,0.0,3,1,1
OX33,0.9909980297088624,0.0,2,1,0.5,0.0,4,1,1
OX33,0.0763177871704101,0.0,1,1,1.0,0.0,5,1,1
OX33,0.7853801250457764,0.0,2,1,0.5,0.0,6,1,1
OX33,0.7566927671432495,0.0,2,1,0.5,0.0,9,1,1
OX33,1.224066178003947,0.0,3,1,0.3333333333333333,0.0,15,1,1
OX34,0.5802717208862305,0.0,2,1,0.5,0.0,1,1,1
OX34,0.4153317451477051,0.2837507459852431,5,9,1.8,0.6831906043789943,4,1,1
OX34,0.0935330390930175,0.0,1,1,1.0,0.0,6,1,1
OX34,0.3043985366821289,0.2744797865549723,3,6,2.0,0.9017119121094871,8,1,1
OX34,0.6681376695632935,0.0,2,1,0.5,0.0,9,1,1
OX34,1.0769916772842407,0.5232082009315491,2,4,2.0,0.48580524062254515,11,1,1
OX34,0.2274084091186523,0.4165728092193603,1,4,4.0,1.8318267597659939,14,1,1
