task,o_mean,o_sem,ox_mean,ox_sem,o_elmo_mean,o_elmo_sem,ox_elmo_mean,ox_elmo_sem
Early Build (1-5),20.47142857142858,3.096655916467335,26.271428571428572,3.109616925833745,4.171428571428572,1.7258037965287452,10.428571428571429,3.201706766185889
Early Recovery (6-10),16.371428571428574,2.4089446088958573,25.557142857142857,4.088911758898266,3.557142857142857,1.6548534773197214,8.8,3.7164321777570675
Late Recovery (10-13),10.285714285714286,1.7627460618881696,24.071428571428573,3.8665432864344442,1.880952380952381,0.6699617677728645,10.357142857142858,4.519995500353565
END (14-15),13.857142857142858,2.8349412127500675,20.357142857142858,3.7167679786639027,4.607142857142857,2.1719860837216913,8.964285714285714,3.0784005969786987
