task,o_mean,o_sem,ox_mean,ox_sem,o_elmo_mean,o_elmo_sem,ox_elmo_mean,ox_elmo_sem
Early Build (1-5),2.334381490271763,0.2688045661197443,2.938342119944558,0.32427216939117204,0.2521465129952659,0.08780218499075829,0.28929166714830407,0.07192593125342996
Early Recovery (6-10),2.3707959487155352,0.3188896854319896,2.506517136056295,0.2840207184257342,0.2721273014800782,0.12151189264162678,0.27285879329482005,0.07312228743524476
Late Recovery (10-13),2.0172393917702514,0.29600768537242556,2.396968326639673,0.2635375639525164,0.2618039756337531,0.0872493825343555,0.3297674714390178,0.09942232034535141
END (14-15),1.9807662325008653,0.2174990141377502,3.0884103843337534,0.69743736484863,0.21240300374713653,0.07116790529807723,0.26404105442487,0.09302566372633272
