ID,fixation_durations,fixation_counts,fixation_durations_elmo,fixation_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixation_counts_elmo,game_percentage,task
O20,3.062394618988037,1,0.0,0,184.02986001968384,156,14.097303867340088,23,32.28756022777048,1
O20,0.5650228602545602,14,0.0,0,219.31901478767395,194,14.097303867340088,23,38.75383267630311,2
O20,1.6598470211029053,6,0.0,0,270.0003924369812,238,14.097303867340088,23,46.75317564607972,3
O20,0.0,0,0.0,0,297.0589349269867,256,14.222026586532593,25,51.69732807709154,4
O20,0.0,0,0.0,0,319.8370771408081,268,14.222026586532593,25,55.56833114323258,5
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,64.93101182654402,6
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,67.2634691195795,7
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,72.76062198861148,8
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,77.87450722733246,9
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,81.83858957512045,10
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,85.43035479632063,11
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,89.03307052124397,12
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,92.29632063074902,13
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,94.8532632501095,14
O20,0.0,0,0.0,0,361.7456214427948,298,20.793891429901123,39,99.41414805081034,15
O21,0.0,0,0.0,0,61.36180281639099,115,21.98066782951355,56,24.7306863650354,1
O21,1.6124446392059326,1,0.0,0,77.53779435157776,121,21.98066782951355,56,28.93967374576793,2
O21,1.4784033298492432,2,0.1264684200286865,1,91.5320246219635,135,22.169711351394653,58,35.141582025238534,3
O21,0.6018706560134888,4,0.1273581981658935,1,110.98954844474792,160,23.275978565216064,61,40.28931979070483,4
O21,0.0,0,0.3623654842376709,1,123.77597284317017,170,26.16800856590271,69,44.552169898430286,5
O21,0.349691351254781,6,0.0,0,140.19456315040588,191,26.16800856590271,69,49.445983379501385,6
O21,0.6502783128193447,14,0.0,0,159.38662910461426,210,27.27061104774475,70,55.57094490612496,7
O21,0.5575253963470459,4,0.0,0,177.3017864227295,233,27.27061104774475,70,60.81871345029239,8
O21,0.3491252660751343,2,0.3463318347930908,1,185.3196041584015,244,27.61694288253784,71,66.76669744536781,9
O21,1.3097896575927734,2,0.0,0,193.70498752594,257,27.61694288253784,71,71.97599261311173,10
O21,1.67258620262146,1,0.0,0,219.5876502990723,270,27.61694288253784,71,78.41643582640813,11
O21,0.0,0,0.0,0,236.24594068527225,280,27.61694288253784,71,84.05663281009541,12
O21,0.5288991928100586,1,0.1102247238159179,2,254.66211342811584,293,28.07420372962952,74,88.96583564173592,13
O21,0.4666793346405029,12,0.1580218076705932,4,275.00840950012207,317,34.15328502655029,105,94.79070483225608,14
O21,0.3562121391296386,1,0.1736558675765991,2,289.21390414237976,333,40.59370851516724,125,99.09972299168976,15
O22,1.9442025820414224,3,0.0,0,228.9368295669556,83,18.10828709602356,44,36.95860827834433,1
O22,1.363114356994629,5,0.0,0,246.1404731273651,96,18.10828709602356,44,41.571685662867424,2
O22,0.0,0,0.0,0,265.91792821884155,108,18.10828709602356,44,45.89082183563287,3
O22,0.0,0,0.0,0,282.1635437011719,117,18.10828709602356,44,50.37792441511698,4
O22,0.0,0,0.0,0,303.9384994506836,130,18.10828709602356,44,54.69106178764247,5
O22,0.6022241115570068,3,0.0,0,343.0243833065033,143,18.10828709602356,44,61.15776844631073,6
O22,1.2445080280303955,3,0.0,0,370.44942331314087,157,18.10828709602356,44,65.36292741451709,7
O22,0.0,0,0.0,0,394.37073850631714,172,18.10828709602356,44,70.10197960407918,8
O22,0.0,0,0.0,0,412.5667371749878,182,18.10828709602356,44,73.43131373725255,9
O22,0.7469482421875,1,0.0,0,435.6671962738037,195,18.10828709602356,44,78.03239352129575,10
O22,1.414919137954712,1,0.0,0,453.5520191192627,205,18.10828709602356,44,82.11157768446311,11
O22,0.9304111003875732,1,0.0,0,466.0766592025757,211,18.10828709602356,44,85.59688062387522,12
O22,0.0,0,0.0,0,479.2417094707489,216,18.10828709602356,44,88.81823635272946,13
O22,0.0,0,0.0,0,496.5142459869385,230,18.10828709602356,44,92.9634073185363,14
O22,0.1193868319193522,3,0.0,0,508.72531747817993,241,18.10828709602356,44,96.4247150569886,15
O24,0.0,0,0.0,0,213.2532799243927,150,1.1166131496429443,4,45.08702206386186,1
O24,0.0,0,0.0,0,216.55303597450256,154,1.1166131496429443,4,47.26599972591476,2
O24,0.7524734735488892,2,0.0,0,240.75305342674253,174,1.1166131496429443,4,53.22050157599013,3
O24,0.0,0,0.0,0,264.44199895858765,186,1.1166131496429443,4,58.79128408935179,4
O24,0.0,0,0.0,0,282.2323968410492,194,1.1166131496429443,4,63.40962039194189,5
O24,0.9912896951039633,3,0.0,0,295.62387108802795,199,1.1166131496429443,4,67.93202686035357,6
O24,1.3343149026234944,3,0.0,0,313.7311007976532,210,1.1166131496429443,4,72.9203782376319,7
O24,0.3257734775543213,1,0.0,0,326.2145357131958,220,1.1166131496429443,4,76.28477456488967,8
O24,1.694515585899353,2,0.0,0,332.1433002948761,224,1.1166131496429443,4,78.64190763327395,9
O24,1.6467783451080322,1,0.0,0,350.3848481178284,229,1.1166131496429443,4,82.68466493079347,10
