ID,fixation_durations,fixation_counts,fixation_durations_elmo,fixation_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixation_counts_elmo,game_percentage,task
O20,1.1864508560725622,28,0.0,0,180.9674654006958,155,14.097303867340088,23,31.32939115199299,1
O20,3.062394618988037,1,0.0,0,184.02986001968384,156,14.097303867340088,23,32.28756022777048,1
O20,1.140784780184428,24,0.0,0,211.4086947441101,180,14.097303867340088,23,36.49802890932983,2
O20,0.5650228602545602,14,0.0,0,219.31901478767395,194,14.097303867340088,23,38.75383267630311,2
O20,1.0716393558602584,38,0.0,0,260.04131031036377,232,14.097303867340088,23,44.97371879106439,3
O20,1.6598470211029053,6,0.0,0,270.0003924369812,238,14.097303867340088,23,46.75317564607972,3
O20,1.5032523605558608,18,0.0623613595962524,2,297.0589349269867,256,14.222026586532593,25,51.00744634253176,4
O20,0.0,0,0.0,0,297.0589349269867,256,14.222026586532593,25,51.69732807709154,4
O20,1.898178517818451,12,0.0,0,319.8370771408081,268,14.222026586532593,25,54.987954445904506,5
O20,0.0,0,0.0,0,319.8370771408081,268,14.222026586532593,25,55.56833114323258,5
O20,1.5181847589987296,27,0.2866489589214325,8,360.8280656337738,295,16.515218257904053,33,64.00569426193606,6
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,64.93101182654402,6
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,66.68309242225142,7
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,67.2634691195795,7
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,72.18572054314498,8
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,72.76062198861148,8
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,76.59877354358301,9
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,77.87450722733246,9
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,80.42597459483136,10
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,81.83858957512045,10
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,84.49956197985107,11
O20,0.0,0,0.0,0,360.8280656337738,295,16.515218257904053,33,85.43035479632063,11
O20,0.0,0,0.7131121953328451,6,360.8280656337738,295,20.793891429901123,39,88.33223828296101,12
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,89.03307052124397,12
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,91.60096364432763,13
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,92.29632063074902,13
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,94.04292597459482,14
O20,0.0,0,0.0,0,360.8280656337738,295,20.793891429901123,39,94.8532632501095,14
O20,0.305851936340332,3,0.0,0,361.7456214427948,298,20.793891429901123,39,98.59833552343407,15
O20,0.0,0,0.0,0,361.7456214427948,298,20.793891429901123,39,99.41414805081034,15
O21,0.6847837766011556,9,0.2106862068176269,3,61.36180281639099,115,21.98066782951355,56,23.62265312403817,1
O21,0.0,0,0.0,0,61.36180281639099,115,21.98066782951355,56,24.7306863650354,1
O21,2.912709379196167,5,0.0,0,75.92534971237183,120,21.98066782951355,56,27.73160972606956,2
O21,1.6124446392059326,1,0.0,0,77.53779435157776,121,21.98066782951355,56,28.93967374576793,2
O21,0.9197853008906046,12,0.0625751018524169,1,88.57521796226501,133,22.043242931365967,57,33.4949215143121,3
O21,1.4784033298492432,2,0.1264684200286865,1,91.5320246219635,135,22.169711351394653,58,35.141582025238534,3
O21,0.8119067237490699,21,0.4894545078277588,2,108.58206582069396,156,23.14862036705017,60,38.99661434287473,4
O21,0.6018706560134888,4,0.1273581981658935,1,110.98954844474792,160,23.275978565216064,61,40.28931979070483,4
O21,1.278642439842224,10,0.3613806452069963,7,123.77597284317017,170,25.80564308166504,68,43.34410587873192,5
O21,0.0,0,0.3623654842376709,1,123.77597284317017,170,26.16800856590271,69,44.552169898430286,5
O21,0.9546961466471354,15,0.0,0,138.0964150428772,185,26.16800856590271,69,48.237919359803016,6
O21,0.349691351254781,6,0.0,0,140.19456315040588,191,26.16800856590271,69,49.445983379501385,6
O21,2.0176339149475098,5,1.102602481842041,1,150.28273272514343,196,27.27061104774475,70,53.02400738688827,7
O21,0.6502783128193447,14,0.0,0,159.38662910461426,210,27.27061104774475,70,55.57094490612496,7
O21,0.8255292490908974,19,0.0,0,175.0716848373413,229,27.27061104774475,70,59.75684826100338,8
O21,0.5575253963470459,4,0.0,0,177.3017864227295,233,27.27061104774475,70,60.81871345029239,8
O21,0.8132852448357476,9,0.0,0,184.6213536262512,242,27.27061104774475,70,65.94336718990459,9
O21,0.3491252660751343,2,0.3463318347930908,1,185.3196041584015,244,27.61694288253784,71,66.76669744536781,9
